"id","genres"
"6xKZzLqIevrBxolUsY72ve",
"68RoQ83MT6FpsNJQwfMOWK",
"633d3XXJxSlkxnQfDpYwPW",
"1Po5CvMZ0cXWGS2bplQL1i",
"1UFLR3TTJAODTIog5FNv3e",
"1honjfWrOeLAymPLT3gZEV",
"6bM5REqN0So8716K9JGTfd",
"0aLzQHdUrOIrpwqQIGyLW5",
"08KQfADhvzZNtQnplCAIyS",
"3ZOpvSIzCBGbEeqiTcJxsG",
"1I5miROzH3MFMhRsphAvQJ",
"3I44LJGCaI0gSPPz3n16xn",
"57VQCKnZ9nhS7bvoviXuZK",
"0GM5Kxf1k00U2KzgFznWxi",
"57nPqD7z62gDdq37US9XJR",
"5h9joM2EsxToLaDG7XZM8M",
"2eKpDydKIHp3fkST2ZDB8s",
"6IRQqK4ODeABKC4kLRoiHe",
"0MU7bIngzZFJkLksK8Hh94",
"4anI4492Z1ogF7JJqCiI0i",
"2gx1zKYcIAUboisufcHkjB",
"5mBUw2lTWpPs3bMddcvoLh",
"2OMImVZQlaVtav9HoKxrbv",
"3S2rkkMBRzNz7urXkLjb6n",
"7cmuxPnXRJxwuYDHfbD8Eu","agronejo,arrocha,arrochadeira,sertanejo,sertanejo universitario"
"0jTDeBJQr3unrK29LklnAv","funk carioca,funk pop,funk rj,pop nacional"
"2TWBei99x2tV70bdYbWdAf","circuit,guaracha"
"00CMSJdbf36zOzKB3z8JrR",guaracha
"0cCNT5RyWndpS7Zx7ISEDw",guaracha
"2Cra8I2P4OnMkVguqZRVwi","arrochadeira,brega funk"
"07qgzS86XBNsyrY6MAVDAc",funk carioca
"28ie4NNTa2VW2QV4Zray8M",funk carioca
"0y7B2G0jNMGWyQJsOoRMUt",trap brasileiro
"25XJqeReVV38w0tR04GGBd","trap carioca,trap funk"
"6S2OmqARrzebs0tKUEyXyp","pop,post-teen pop"
"5RmXJq0g7MNmgtxXLGbd6K",funk mtg
"4U3o74Io4hwQPsm6iIj4fu","funk bh,funk mtg"
"7u9115faVQY8xNrCXqY0zx",funk viral
"2CKOmarVWvWqkNWUatHCex","agronejo,sertanejo,sertanejo pop"
"4YqwRbMLqGHRHLS1w2ZKse",trap brasileiro
"7saGN6a32YNpiMPo2SWJxE",trap brasileiro
"3prRKGJz16RRMRSIM97nHw",trap brasileiro
"1etNnR2SdlelBQAICa2Q5m","funk carioca,funk mtg,funk paulista"
"04QHNiih9ZesPvals6II1h","funk consciente,funk paulista"
"5kKzlgNRX8FgC6Bni5DNNC",funk ostentacao
"3Hew3AuvrbKxCbehT4Rorq","forro,sertanejo,sertanejo pop,sertanejo universitario"
