track_name,artist,bpm,energy,danceability,valence,acousticness,instrumentalness,liveness,speechiness,loudness,duration_ms,genre,is_hit,Unnamed: 0,id,artist_names,name,genres,key,mode,tempo,time_signature,artists_ids,groove_factor,commercial_appeal,energy_dance_ratio,vocal_presence,bpm_category,loudness_normalized,hit_potential_score,acoustic_electric_balance,is_music
Inferno são os outros,Detonautas Roque Clube,110.055,0.797,0.642,0.563,0.0899,1.38e-05,0.732,0.0286,-7.173,211706.0,mpb,1.0,,,,,,,,,,,0.6435250000000001,0.7534699999999999,1.2223926380368098,0.9999862,1.0,0.88045,0.6838470000000001,0.17979999999999996,1.0
Canção Pra Pedir Perdão,Renato Teixeira,115.028,0.399,0.486,0.459,0.792,6.46e-05,0.132,0.0369,-7.754,225517.0,mpb,1.0,,,,,,,,,,,0.4544133333333334,0.70606,0.8044354838709677,0.9999354,1.0,0.8707666666666667,0.47650600000000004,0.4159999999999999,1.0
Se Eu Não Te Amasse Tanto Assim,Georgia Castro,200.122,0.129,0.429,0.496,0.961,0.0,0.14,0.0481,-12.562,201137.0,mpb,1.0,,,,,,,,,,,0.4532,0.67278,0.2938496583143508,1.0,,0.7906333333333334,0.376778,0.07800000000000007,1.0
Foi Deus Quem Fez Você,Amelinha,133.596,0.653,0.421,0.409,0.318,0.0,0.377,0.0487,-6.98,232973.0,mpb,1.0,,,,,,,,,,,0.52906,0.6937999999999999,1.5150812064965198,1.0,2.0,0.8836666666666666,0.5154799999999999,0.636,1.0
Baader-Meinhof Blues,Legião Urbana,189.72,0.831,0.253,0.657,0.012,6.62e-05,0.508,0.0456,-5.41,207533.0,mpb,1.0,,,,,,,,,,,0.5758,0.8087000000000001,3.159695817490494,0.9999338,3.0,0.9098333333333334,0.56277,0.02400000000000002,1.0
Primavera,Los Hermanos,200.332,0.624,0.339,0.408,0.421,1.36e-05,0.126,0.0313,-4.755,262040.0,mpb,1.0,,,,,,,,,,,0.5567,0.71565,1.787965616045845,0.9999864,,0.92075,0.475965,0.842,1.0
A Força do Amor - Ao Vivo,Roupa Nova,77.083,0.774,0.525,0.721,0.121,0.0,0.935,0.0451,-8.649,267906.0,mpb,1.0,,,,,,,,,,,0.5231716666666667,0.80191,1.4467289719626168,1.0,0.0,0.85585,0.666591,0.242,1.0
Rosa Maria,Milton Nascimento,151.995,0.46,0.584,0.681,0.774,9.21e-05,0.147,0.0336,-9.491,295133.0,mpb,0.0,,,,,,,,,,,0.583325,0.77749,0.7744107744107744,0.9999079,3.0,0.8418166666666667,0.5855490000000001,0.45199999999999996,1.0
O Que Será (A Flor Da Pele),Milton Nascimento;Chico Buarque,112.096,0.366,0.431,0.258,0.689,0.0,0.434,0.0354,-12.371,247426.0,mpb,0.0,,,,,,,,,,,0.41212666666666664,0.57949,0.8299319727891156,1.0,1.0,0.7938166666666666,0.391749,0.6220000000000001,1.0
Iluminado,Vander Lee,79.755,0.613,0.466,0.384,0.43,7.06e-05,0.246,0.0284,-8.69,237280.0,mpb,1.0,,,,,,,,,,,0.449825,0.6667000000000001,1.28781512605042,0.9999294,0.0,0.8551666666666667,0.51377,0.86,1.0
